accession_number,company_cik,owner_key,percent_of_class,control_class,pct_verified,pct_source
0001026608-15-000014,0000002098,0001014360,16.6,stake,True,row13
0001026608-15-000015,0000002098,0001213244,6.1,stake,True,row13
0000950138-13-000197,0000002186,0001414517,6.3,stake,True,row13
0001144204-14-053861,0000002186,0001557178,,unknown,False,rejected_below_13d_threshold
0001144204-17-000681,0000002186,0001591508,30.2,stake,True,row13
0001193125-21-255054,0000002186,0001878780,15.7,stake,True,row13
0001048703-06-000257,0000002230,0001048703,,unknown,False,rejected_below_13d_threshold
0001062993-23-017384,0000002230,0001510281,5.02,stake,True,row13
0000947871-17-000613,0000002488,0001704268,12.9,stake,True,row13
0001104659-07-013904,0000002809,0000002809,13.2,stake,True,row13
0001193125-16-708564,0000002969,0001336528,7.8,stake,True,row13
0001104659-26-020760,0000003197,0000946589,,unknown,False,
0001140361-13-019317,0000003197,0000065201,26.0,stake,True,row13
0001193125-15-169237,0000003197,0001422862,15.0,stake,True,row13
0001193125-17-082021,0000003197,0000310051,5.5,stake,True,row13
0000899689-23-000054,0000003499,0000899689,42.2,stake,True,row13
0000907618-23-000009,0000003499,0000907618,42.2,stake,True,row13
0000898822-18-000149,0000003545,0001591415,42.97,stake,True,row13
0000898822-19-000086,0000003545,0000003545,11.0,stake,True,llm
0001104659-13-087746,0000003545,0001591869,42.97,stake,True,row13
0001104659-19-007954,0000003545,0001297619,6.6,stake,True,row13
0000928464-15-000041,0000003570,0000921669,,unknown,False,rejected_below_13d_threshold
0000902664-19-003577,0000004281,0000904495,,unknown,False,rejected_below_13d_threshold
0000902664-20-000179,0000004281,0001791786,9.6,stake,True,row13
0000004457-06-000012,0000004457,0000004457,50.0004,control,True,row13
0000912057-94-001789,0000004457,0000923212,47.5,stake,True,row13
0000912057-94-001795,0000004457,0000923207,47.5,stake,True,row13
0001104659-22-117437,0000004457,0000925122,43.2,stake,True,row13
0001048703-06-000181,0000005094,0001048703,5.0,stake,True,llm
0000807249-20-000104,0000006176,0000807249,17.76,stake,True,aggregate_prose
0000921895-22-000091,0000006176,0001446114,,unknown,False,rejected_below_13d_threshold
0000921895-25-003128,0000006176,0001836192,,unknown,False,rejected_below_13d_threshold
0001104659-21-106368,0000006176,0001670058,13.9,stake,True,row13
0001144204-16-092331,0000006176,0001671002,13.9,stake,True,row13
0001193125-20-219016,0000006176,0001820922,5.33,stake,True,row13
0001193125-20-264801,0000006176,0001351834,18.7,stake,True,row13
0001731122-25-001701,0000006176,0001991451,5.19,stake,True,prose
0000006207-06-000036,0000006207,0000006207,32.7,stake,True,row13
0000897446-95-000042,0000006207,0000947227,9.2,stake,True,row13
0000910079-94-000005,0000006207,0000910079,18.1,stake,True,row13
0000950109-94-000142,0000006207,0000918213,25.97,stake,True,row13
0000950136-00-000767,0000006207,0001113616,5.02,stake,True,row13
0001104659-21-069853,0000006207,0000933422,7.1,stake,True,row13
0001105838-07-000031,0000006207,0001105838,8.4,stake,True,row13
0001193125-13-129332,0000006207,0001316729,9.6,stake,True,row13
0001398344-20-012077,0000006207,0001705447,17.9,stake,True,row13
0000921895-18-001360,0000006845,0001559771,,unknown,False,rejected_below_13d_threshold
0000807985-18-000011,0000006955,0000807985,9.8,stake,True,row13
0001418812-14-000039,0000007431,0001418812,,unknown,False,rejected_below_13d_threshold
0001437749-14-018500,0000007623,0001467401,,unknown,False,rejected_below_13d_threshold
0001437749-14-021448,0000007623,0001022585,38.2,stake,True,row13
0001140361-26-013348,0000007789,0002113028,,unknown,False,
0000902664-16-004960,0000008063,0001663362,16.0,stake,True,row13
0001214659-22-004136,0000008063,0001873893,,unknown,False,rejected_below_13d_threshold
0001821457-20-000003,0000008063,0001821457,6.3,stake,True,row13
0000914260-14-000101,0000008146,0001527056,12.24,stake,True,aggregate_prose
0000914260-14-000102,0000008146,0001527095,12.24,stake,True,aggregate_prose
0000914260-14-000103,0000008146,0001527094,12.24,stake,True,aggregate_prose
0000914260-14-000104,0000008146,0001527099,12.24,stake,True,aggregate_prose
0001171520-22-000566,0000008146,0000937541,5.9,stake,True,row13
0001214659-21-004378,0000008146,0001794034,5.0,stake,True,row13
0001815572-25-000007,0000008146,0001815572,,unknown,False,
0001019056-09-000188,0000008504,0001276537,22.5,stake,True,row13
0001144204-13-054251,0000008504,0001405965,46.88,stake,True,row13
0001185185-14-000350,0000008504,0001509763,,unknown,False,rejected_below_13d_threshold
0001193125-11-005176,0000008504,0001308037,24.9,stake,True,row13
0001193125-11-005205,0000008504,0001509704,28.1,stake,True,row13
0001575705-18-000049,0000008504,0001677798,59.4,control,True,row13
0001193125-18-080819,0000008670,0001336528,7.2,stake,True,row13
0000892712-25-000043,0000009389,0000948669,,unknown,False,
0001062993-25-002363,0000009521,0001510281,,unknown,False,
0001067621-07-000012,0000009521,0001067621,5.53,stake,True,row13
0000899681-12-000441,0000010048,0001276245,9.33,stake,True,row13
0000899681-18-000060,0000010048,0001750734,16.4,stake,True,row13
0000921895-25-003243,0000010048,0001380585,9.1,stake,True,llm
0000921895-26-001018,0000010048,0001461945,5.1,stake,True,llm
0000929638-25-002512,0000010048,0002074670,5.2,stake,True,llm
0001193125-08-037588,0000010048,0001264188,6.5,stake,True,row13
0001193125-13-254173,0000010048,0000902749,18.3,stake,True,row13
0000807249-14-000066,0000010329,0000807249,10.84,stake,True,aggregate_prose
0001437749-24-014887,0000010329,0001813065,5.3,stake,True,row13
0001193125-26-092498,0000011544,0001142206,15.7,stake,True,llm
0001193125-26-092603,0000011544,0000918186,25.51,stake,True,prose
0001174947-21-000051,0000012040,0001193037,100.0,control,True,aggregate_total
0000012208-25-000069,0000012208,0000940805,14.6,stake,True,prose
0001628280-17-006782,0000012208,0001248076,89.3,control,True,row13
0001213900-20-000986,0000012239,0001799654,40.2,stake,True,row13
0001213900-22-083244,0000012239,0001856536,5.09,stake,True,row13
0001213900-23-099249,0000012239,0001538372,5.3,stake,True,row13
0001513162-21-000027,0000012239,0001846823,,unknown,False,
0001140377-02-000027,0000013156,0000013156,85.0,control,True,row13
0001255294-06-000465,0000013156,0001367517,49.4,stake,True,row13
0001255294-09-000680,0000013156,0001471461,82.34,control,True,row13
0001445866-17-001428,0000013156,0001207741,5.69,stake,True,row13
0001654954-19-007068,0000013156,0001777533,,unknown,False,
0001654954-19-007069,0000013156,0001777608,,unknown,False,
0001839882-22-007258,0000013156,0001920194,5.9,stake,True,row13
0001437749-10-000965,0000014177,0001487582,76.6,control,True,row13
0001193125-17-099889,0000014693,0001701991,52.3,control,True,row13
0000069891-94-000001,0000015615,0000069891,,unknown,False,
0001193125-15-399007,0000015615,0001079760,7.4,stake,True,row13
0001193125-19-296553,0000015615,0000920559,13.3,stake,True,row13
0001332596-15-000009,0000015847,0001332596,5.14,stake,True,aggregate_total
0001036241-20-000008,0000016160,0001036241,13.26,stake,True,aggregate_total
0001193125-22-263028,0000016160,0001651875,7.5,stake,True,row13
0001354488-15-004100,0000016160,0001034199,32.0,stake,True,row13
0000947871-16-001112,0000016732,0001383493,6.3,stake,True,row13
0001144204-18-043237,0000016732,0001124908,,unknown,False,rejected_below_13d_threshold
0001193125-18-244115,0000016732,0001040273,5.65,stake,True,row13
0000897485-00-000090,0000016859,0000897485,30.9,stake,True,row13
0000948727-01-500011,0000016859,0000948727,12.4,stake,True,row13
0001085037-06-000227,0000016859,0001302292,10.3,stake,True,row13
0001144204-13-065968,0000016859,0000949119,,unknown,False,rejected_below_13d_threshold
0001213900-23-094576,0000016859,0001201333,12.4,stake,True,row13
0000902664-21-004063,0000016868,0001647251,5.2,stake,True,row13
0001104659-21-040741,0000016868,0001052192,14.3,stake,True,row13
0001193125-16-488221,0000016875,0001336528,9.1,stake,True,row13
0001193125-22-094303,0000016918,0000925761,98.0,control,True,aggregate_total
0001085146-19-001293,0000017313,0001053994,5.02,stake,True,row13
0001193125-12-255696,0000017313,0001423296,6.7,stake,True,row13
0000921895-18-000160,0000018498,0001560207,6.3,stake,True,row13
0000921895-26-000992,0000018498,0001380585,,unknown,False,
0000893838-99-000201,0000018748,0001006975,,unknown,False,
0000893838-99-000203,0000018748,0001007314,11.9,stake,True,row13
0000807985-19-000015,0000018926,0000807985,6.2,stake,True,row13
0001011438-17-000194,0000018926,0001535472,5.5,stake,True,row13
0001193125-17-336661,0000018926,0001219573,8.7,stake,True,row13
0001193125-18-100691,0000018926,0001021944,9.7,stake,True,row13
0000807249-17-000051,0000019584,0000807249,5.28,stake,True,aggregate_prose
0000902561-96-000036,0000019871,0001013097,6.34,stake,True,row13
0000950137-98-001368,0000019871,0001058929,7.9,stake,True,row13
0001193125-06-143204,0000019871,0001366847,7.6,stake,True,row13
0001699503-17-000003,0000019871,0001699503,5.2,stake,True,row13
0001731122-25-001730,0000019871,0001991451,6.45,stake,True,prose
0002056058-25-000003,0000019871,0000944502,10.09,stake,True,llm
0000807249-16-000481,0000020212,0000807249,5.03,stake,True,aggregate_prose
0001193125-17-203928,0000020212,0001117661,7.6,stake,True,row13
0000020639-96-000007,0000020639,0000020639,19.86,stake,True,llm
0000020639-99-000013,0000020639,0000904660,20.0,stake,True,llm
0000899140-96-000617,0000020639,0000931328,,unknown,False,rejected_below_13d_threshold
0000902664-97-000083,0000020639,0000899983,5.55,stake,True,row13
0001013594-17-000778,0000020639,0001484190,21.3,stake,True,row13
0001140361-20-000389,0000020639,0001516478,24.3,stake,True,row13
0001221825-04-000053,0000020639,0001000514,12.0,stake,True,row13
0001221825-05-000072,0000020639,0001284513,,unknown,False,rejected_below_13d_threshold
0001362310-09-004352,0000020639,0001458954,36.8,stake,True,llm
0000060086-23-000140,0000021175,0000060086,90.0,control,True,aggregate_prose
0000807249-13-000122,0000022701,0000807249,15.88,stake,True,aggregate_prose
0000897101-22-000382,0000022701,0001920590,36.76,stake,True,aggregate_prose
0000897101-23-000347,0000022701,0001954316,5.3,stake,True,aggregate_prose
0001104659-25-035437,0000022701,0000800177,,unknown,False,
0001493152-24-041340,0000022701,0002040809,14.2,stake,True,row13
0001104659-15-044798,0000023194,0001007864,6.47,stake,True,row13
0001104659-19-041873,0000023194,0001782167,90.6,control,True,row13
0001564590-18-022147,0000023194,0001750178,63.1,control,True,row13
0000902664-24-000532,0000023197,0002005699,9.99,stake,True,row13
0000921895-24-002155,0000023197,0001210707,,unknown,False,rejected_below_13d_threshold
0001104659-21-131865,0000023197,0001352851,11.95,stake,True,row13
0000902664-15-002879,0000023217,0001159159,,unknown,False,rejected_below_13d_threshold
0000919574-19-002876,0000023795,0001360079,,unknown,False,
0000943440-06-000463,0000024090,0001340936,36.2,stake,True,row13
0001104659-20-034267,0000024545,0001368801,95.4,control,True,row13
0001144204-17-047865,0000024545,0001317150,,unknown,False,
0000903423-16-001309,0000025232,0001495741,9.6,stake,True,row13
0000807249-17-000216,0000025445,0000807249,6.15,stake,True,aggregate_prose
0001013594-20-000795,0000025475,0001282683,,unknown,False,rejected_below_13d_threshold
0001019687-08-002823,0000025743,0001438616,63.5,control,True,row13
0001104659-22-087294,0000025743,0001687509,18.27,stake,True,row13
0001387131-18-000665,0000025743,0001502541,5.87,stake,True,row13
0001104659-03-002897,0000025895,0001166247,15.2,stake,True,row13
0001193125-11-019068,0000025895,0001435260,6.3,stake,True,row13
0000807249-20-000136,0000026058,0000807249,8.75,stake,True,aggregate_prose
0000807249-14-000139,0000026324,0000807249,7.59,stake,True,aggregate_prose
0001193125-19-063893,0000026324,0001112049,,unknown,False,
0000807249-19-000130,0000026780,0000807249,,unknown,False,rejected_below_13d_threshold
0001539497-22-000021,0000026780,0000921669,,unknown,False,rejected_below_13d_threshold
0001019687-14-002878,0000027093,0001512069,5.17,stake,True,row13
0001171520-09-000267,0000027093,0001006335,,unknown,False,rejected_below_13d_threshold
0001171520-16-000739,0000027093,0000027093,10.86,stake,True,row13
0001171520-16-000741,0000027093,0001631360,10.86,stake,True,row13
0000807249-22-000120,0000028823,0000807249,5.13,stake,True,aggregate_prose
0000899140-23-000905,0000028823,0001826937,9.24,stake,True,row13
0000905718-16-001802,0000028823,0001063296,5.1,stake,True,row13
0000929638-23-002318,0000028823,0001590729,18.46,stake,True,row13
0001140361-23-040516,0000028823,0001453885,8.9,stake,True,row13
0001422849-23-000154,0000028823,0001422849,33.3,stake,True,row13
0001104659-26-070708,0000028917,0001179684,,unknown,False,
0000029332-07-000059,0000029332,0000029332,6.1,stake,True,row13
0000949130-11-000002,0000029332,0000949130,7.3,stake,True,llm
0000807249-20-000042,0000030305,0000807249,5.0,stake,True,aggregate_prose
0001493152-24-013403,0000030305,0001982492,9.0,stake,True,row13
0001345471-19-000013,0000030697,0001345471,19.3,stake,True,row13
0000807249-15-000027,0000031107,0000807249,14.44,stake,True,aggregate_prose
0001091818-14-000095,0000031107,0001602116,5.1,stake,True,row13
0001251109-15-000002,0000031107,0001541536,6.0,stake,True,row13
0001398432-14-000346,0000031107,0000887762,9.2,stake,True,row13
0001011438-22-000188,0000031235,0001797633,7.8,stake,True,row13
0001104659-21-033387,0000031235,0001847273,8.74,stake,True,row13
0001144204-13-050783,0000031235,0000941992,13.16,stake,True,row13
0001144204-13-050784,0000031235,0001534513,,unknown,False,rejected_below_13d_threshold
0001193125-13-366515,0000031235,0001464694,,unknown,False,rejected_below_13d_threshold
0001193125-13-366785,0000031235,0001427430,19.2,stake,True,row13
0001193125-18-114404,0000031235,0001422183,,unknown,False,rejected_below_13d_threshold
0001206774-17-001639,0000031235,0001085765,15.5,stake,True,row13
0001104659-22-093048,0000031462,0001052192,10.9,stake,True,row13
0000950144-07-002112,0000031667,0000915477,9.01,stake,True,llm
0001325533-17-000014,0000031667,0001325533,7.15,stake,True,row13
0000891092-01-000363,0000032621,0001136461,17.1,stake,True,row13
0000905148-05-006105,0000032621,0001336951,56.2,control,True,row13
0000905718-00-000265,0000032621,0000940692,36.5,stake,True,row13
0000921895-12-000172,0000032621,0001444376,6.2,stake,True,row13
0000950123-98-005387,0000032621,0000943457,5.7,stake,True,row13
0001144204-15-001791,0000032621,0000949119,9.4,stake,True,row13
0001144204-17-051863,0000032621,0001719148,61.6,control,True,row13
0001193125-16-709943,0000032621,0001680686,56.2,control,True,row13
0001214659-08-002069,0000033488,0001321234,,unknown,False,rejected_below_13d_threshold
0001463197-26-000012,0000033488,0001463197,20.64,stake,True,llm
0000038777-04-000012,0000033533,0000038777,7.7,stake,True,row13
0001048703-00-000108,0000033934,0001048703,6.49,stake,True,llm
0001021771-17-000035,0000033992,0001023338,8.6,stake,True,row13
0001021771-17-000039,0000033992,0001186619,,unknown,False,rejected_below_13d_threshold
0001193125-21-038418,0000033992,0001835304,5.6,stake,True,row13
0001193805-06-002965,0000033992,0001187011,,unknown,False,rejected_below_13d_threshold
0001213900-22-040578,0000033992,0001212542,,unknown,False,rejected_below_13d_threshold
0000921895-24-001414,0000034067,0000914712,9.8,stake,True,row13
0000921895-14-002178,0000034285,0001589350,20.1,stake,True,row13
0001047469-98-043732,0000034285,0001075089,7.0,stake,True,row13
0001140361-07-025195,0000034285,0001252699,6.52,stake,True,row13
0001140361-08-019640,0000034285,0001218021,15.0,stake,True,row13
0001193125-07-079731,0000034285,0001396268,6.33,stake,True,row13
0001193125-07-079732,0000034285,0001370827,6.33,stake,True,row13
0001193125-07-079733,0000034285,0001396275,9.3,stake,True,row13
0001248915-13-000125,0000034285,0001548312,50.2,control,True,row13
0001493152-26-018541,0000034285,0001792101,7.01,stake,True,prose
0001493152-26-021036,0000034285,0001792162,7.01,stake,True,prose
0000034782-16-000116,0000034782,0001217073,18.4,stake,True,row13
0000914760-12-000095,0000034782,0001557983,10.6,stake,True,row13
0000919574-20-004612,0000034956,0001601086,19.99,stake,True,row13
0001654954-21-007128,0000034956,0001841785,16.84,stake,True,row13
0001654954-21-007129,0000034956,0001704234,14.44,stake,True,row13
0001654954-26-002112,0000034956,0001871714,6.79,stake,True,llm
0001783976-20-000008,0000034956,0001783976,5.1,stake,True,row13
0001140361-22-004832,0000036146,0001241883,6.7,stake,True,row13
0000929624-98-001821,0000036377,0000310732,45.0,stake,True,row13
0001174947-17-000018,0000036840,0001127605,6.6,stake,True,row13
0001193125-26-194432,0000037472,0001520575,8.4,stake,True,llm
0001214659-23-014895,0000037472,0001569866,5.06,stake,True,row13
0000902561-10-000030,0000038264,0001353724,11.6,stake,True,row13
0000921895-14-000413,0000038264,0001324023,,unknown,False,
0001104659-25-091229,0000038264,0002017172,14.1,stake,True,llm
0001144204-08-026511,0000038264,0001346370,7.06,stake,True,row13
0001144204-15-005778,0000038264,0001574922,6.73,stake,True,row13
0001193125-25-207730,0000038264,0001813689,9.99,stake,True,llm
0001463403-11-000271,0000038264,0001536431,19.6,stake,True,row13
0002086701-25-000004,0000038264,0002086701,9.3,stake,True,llm
0000889812-98-000158,0000039020,0000880703,11.2,stake,True,row13
0000919574-16-011961,0000039020,0001666682,16.2,stake,True,row13
0000950138-13-000329,0000039020,0001414517,10.2,stake,True,row13
0000922312-04-000004,0000039092,0000922312,5.0,stake,True,llm
0001144204-16-140294,0000039092,0001588273,5.0,stake,True,row13
0001214659-21-005346,0000039092,0000896493,6.02,stake,True,row13
0001387131-18-005720,0000039311,0001569147,6.2,stake,True,row13
0001104659-20-045547,0000039911,0001217081,11.9,stake,True,row13
0001104659-20-045550,0000039911,0001079847,18.3,stake,True,row13
0001104659-21-048789,0000039911,0000908441,5.3,stake,True,row13
0001104659-21-048793,0000039911,0001079848,11.9,stake,True,row13
0000807249-21-000027,0000040211,0000807249,9.56,stake,True,aggregate_prose
0000040417-19-000005,0000040417,0001215920,5.09,stake,True,row13
0001062993-24-018004,0000040417,0001510281,5.13,stake,True,row13
0001193125-23-249110,0000040533,0001086477,10.3,stake,True,row13
0000950159-05-001125,0000040570,0001271640,9.94,stake,True,row13
0001062993-23-016502,0000040570,0001989386,,unknown,False,rejected_below_13d_threshold
0001108017-09-000149,0000040570,0001461787,60.0,control,True,row13
0001162893-08-000003,0000040570,0001162893,5.4,stake,True,row13
0001167353-12-000002,0000040570,0001538075,51.0,control,True,row13
0001167353-12-000003,0000040570,0001538074,51.0,control,True,row13
0001212739-05-000006,0000040570,0001212739,7.73,stake,True,row13
0001214659-23-004528,0000040570,0001325533,5.3,stake,True,row13
0001477932-15-002547,0000040570,0001637664,45.5,stake,True,row13
0001477932-15-002549,0000040570,0001158018,15.2,stake,True,row13
0001477932-15-002645,0000040570,0001639962,11.0,stake,True,row13
0001477932-15-002646,0000040570,0001639932,27.0,stake,True,row13
0001477932-15-002647,0000040570,0001639931,12.7,stake,True,row13
0001494077-10-000001,0000040570,0001494077,9.94,stake,True,row13
0001513162-21-000060,0000040570,0001846823,,unknown,False,rejected_below_13d_threshold
0001557470-12-000001,0000040570,0001557470,13.7,stake,True,row13
0001557470-13-000001,0000040570,0001538125,6.2,stake,True,row13
0001615225-14-000001,0000040570,0001615225,52.0,control,True,row13
0001915673-26-000008,0000040570,0001915673,5.4,stake,True,llm
0000891836-01-500347,0000040704,0000835403,50.0,control,True,aggregate_total
0000921895-24-002785,0000041719,0001580320,5.5,stake,True,row13
0001193125-22-263767,0000041719,0001056973,12.1,stake,True,row13
0000807249-11-000176,0000042682,0000807249,5.09,stake,True,aggregate_prose
0001193125-24-035298,0000042682,0001075406,10.5,stake,True,row13
0001193125-24-035302,0000042682,0001666796,9.6,stake,True,row13
0000950142-13-001198,0000043196,0001323253,8.0,stake,True,row13
0001193125-13-331181,0000043196,0001008889,34.4,stake,True,row13
0000807249-18-000053,0000043920,0000807249,5.05,stake,True,aggregate_prose
0001193125-22-060978,0000043920,0001911777,13.6,stake,True,row13
0000045919-19-000057,0000045919,0000045919,6.5,stake,True,row13
0000902664-25-002600,0000045919,0002069791,5.0,stake,True,llm
0000921895-21-001893,0000045919,0001461945,,unknown,False,rejected_below_13d_threshold
0000921895-24-002895,0000045919,0001380585,,unknown,False,rejected_below_13d_threshold
0001193125-18-009921,0000045919,0001328331,5.6,stake,True,row13
0001193125-18-037878,0000045919,0001123799,13.79,stake,True,row13
0001193125-18-045747,0000045919,0000918995,10.57,stake,True,row13
0000947871-13-000145,0000046129,0001044005,6.4,stake,True,row13
0001104659-04-038810,0000046129,0001257885,13.7,stake,True,row13
0001214659-24-018485,0000046129,0001794034,5.1,stake,True,row13
0000807249-08-000058,0000046250,0000807249,5.12,stake,True,aggregate_prose
0000891836-15-000157,0000048898,0000316744,6.0,stake,True,row13
0000914317-01-500194,0000050292,0000050292,64.8,control,True,row13
0000950123-95-002404,0000050292,0000949483,17.3,stake,True,row13
0000950136-01-000481,0000050292,0001136748,23.7,stake,True,row13
0001166432-07-000028,0000050292,0001164073,5.5,stake,True,row13
0001531612-23-000018,0000050292,0001531612,5.75,stake,True,row13
0001012975-02-000288,0000050471,0001134122,19.6,stake,True,row13
0000807249-20-000089,0000050493,0000807249,13.97,stake,True,aggregate_prose
0000807249-20-000143,0000050725,0000807249,14.38,stake,True,aggregate_prose
0000921895-23-002129,0000050725,0001529957,,unknown,False,rejected_below_13d_threshold
0000930413-14-000494,0000050725,0001195908,6.1,stake,True,row13
0001193805-22-001168,0000050725,0001730145,,unknown,False,rejected_below_13d_threshold
0001387131-20-000152,0000051253,0001687953,20.0,stake,True,row13
0000893750-97-000193,0000054187,0001002549,23.0,stake,True,row13
0000950135-97-003224,0000054187,0000732905,6.18,stake,True,row13
0001104659-24-126778,0000054187,0001702563,5.6,stake,True,row13
0000950142-26-000277,0000055135,0002102093,,unknown,False,
0001174947-18-001244,0000055135,0001756397,92.2,control,True,row13
0001192372-02-000002,0000055234,0001192372,7.5,stake,True,row13
0001104659-19-057484,0000055529,0001434993,6.5,stake,True,row13
0001171520-22-000039,0000055529,0000937541,5.3,stake,True,row13
0001193125-15-220548,0000055529,0001644498,,unknown,False,rejected_below_13d_threshold
0000898432-13-001315,0000056701,0001190293,38.7,stake,True,row13
0000898432-13-001316,0000056701,0001584790,11.6,stake,True,row13
0000898432-13-001317,0000056701,0001217521,21.9,stake,True,row13
0000898432-13-001319,0000056701,0000901648,30.0,stake,True,row13
0000898432-21-000105,0000056701,0001680965,50.5,control,True,row13
0000895345-09-000467,0000056868,0000886982,20.7,stake,True,row13
0000912282-25-000128,0000056868,0001015878,13.6,stake,True,row13
0000950134-04-000062,0000056868,0001015915,27.8,stake,True,llm
0000950134-96-002733,0000056868,0001015914,6.9,stake,True,llm
0000950134-96-002800,0000056868,0001016497,19.24,stake,True,row13
0001193125-16-427623,0000056868,0001015879,17.0,stake,True,row13
0001437749-24-002201,0000056868,0001015913,,unknown,False,rejected_below_13d_threshold
0001437749-24-002788,0000056868,0001018124,6.18,stake,True,row13
0001437749-24-003139,0000056868,0000947836,8.58,stake,True,row13
0000950152-97-004622,0000057515,0001041149,12.3,stake,True,row13
0001336926-07-000027,0000057515,0001107149,,unknown,False,rejected_below_13d_threshold
0000807249-24-000046,0000058361,0000807249,5.0,stake,True,aggregate_prose
0000921895-20-000198,0000058361,0001688152,,unknown,False,rejected_below_13d_threshold
0001019056-21-000636,0000058361,0001337851,7.31,stake,True,aggregate_total
0001019056-23-000033,0000058361,0001949877,5.9,stake,True,row13
0001058854-18-000068,0000058361,0001058854,9.13,stake,True,row13
0001104659-22-102604,0000058361,0001079093,5.0,stake,True,row13
0001183010-10-000054,0000058361,0001021397,29.6,stake,True,row13
0001193125-20-271729,0000058361,0001828615,,unknown,False,rejected_below_13d_threshold
0001193125-24-238954,0000058361,0002041508,5.22,stake,True,row13
0001422107-13-000101,0000058361,0001317410,5.7,stake,True,row13
0000059255-11-000194,0000059255,0000024240,94.1,control,True,row13
0000950170-25-085594,0000059558,0002067353,10.0,stake,True,prose
0000891836-18-000027,0000060086,0001010178,6.1,stake,True,row13
0000891836-18-000046,0000060086,0001009879,5.0,stake,True,row13
0000921895-14-002505,0000060714,0001517137,7.2,stake,True,row13
0001140361-23-038327,0000060714,0001105838,5.8,stake,True,row13
0001193125-15-402274,0000060714,0001660229,13.5,stake,True,row13
0001193125-21-009020,0000060714,0001005712,68.0,control,True,row13
0001193125-22-030578,0000060714,0001005715,,unknown,False,rejected_below_13d_threshold
0001193125-22-222409,0000060714,0001927675,22.0,stake,True,row13
0001193125-26-131779,0000060714,0001744269,14.5,stake,True,llm
0000061004-13-000056,0000061004,0001233348,14.6,stake,True,row13
0000807249-04-000261,0000061004,0000807249,18.07,stake,True,aggregate_prose
0001067621-07-000011,0000061004,0001067621,6.65,stake,True,row13
0001214305-10-000009,0000061004,0000935390,5.94,stake,True,row13
0000905148-15-000565,0000061986,0001138995,7.06,stake,True,row13
0000928464-14-000125,0000061986,0000921669,,unknown,False,rejected_below_13d_threshold
0001104659-14-048756,0000061986,0001047644,8.52,stake,True,row13
0000807249-21-000127,0000062234,0000807249,,unknown,False,rejected_below_13d_threshold
0000807249-25-000083,0000063296,0000807249,5.02,stake,True,aggregate_prose
0001193125-03-045095,0000063330,0001094581,43.5,stake,True,row13
0001123292-21-000207,0000063754,0001352090,6.5,stake,True,row13
0001193125-26-050052,0000063754,0001644562,5.1,stake,True,prose
0000921895-16-005938,0000064463,0001687771,41.7,stake,True,row13
0001235126-23-000032,0000064463,0001987877,6.78194,stake,True,row13
0000807249-17-000088,0000064472,0000807249,5.06,stake,True,aggregate_prose
0000912057-97-005882,0000064472,0000905215,,unknown,False,rejected_below_13d_threshold
0000950112-96-003081,0000064472,0001019665,35.7,stake,True,row13
0001047469-03-038222,0000064472,0001270809,6.8,stake,True,row13
0001078782-17-000954,0000064472,0001335876,15.9,stake,True,row13
0001104659-26-057949,0000064472,0002133650,24.2,stake,True,llm
0000910680-13-000156,0000065312,0001544680,14.4,stake,True,row13
0000910680-98-000378,0000065312,0001073253,34.5,stake,True,row13
0000910680-98-000379,0000065312,0001073255,,unknown,False,rejected_below_13d_threshold
0001174947-15-000388,0000065312,0001635636,50.3,control,True,row13
0001688052-16-000003,0000065312,0001688052,16.6,stake,True,row13
0001688052-16-000004,0000065312,0001688103,16.6,stake,True,row13
0001688052-16-000005,0000065312,0001688030,16.6,stake,True,row13
0000912057-00-031325,0000065433,0001080512,5.0,stake,True,row13
0000927016-00-003129,0000065433,0000315016,14.2,stake,True,row13
0000950136-01-501046,0000065433,0001126078,,unknown,False,rejected_below_13d_threshold
0001062993-25-013144,0000065433,0001510281,,unknown,False,
0001072613-09-000606,0000065433,0001018138,17.0,stake,True,row13
0000891092-22-000079,0000065596,0000065596,55.0,control,True,llm
0000950123-96-007013,0000065596,0000090088,97.5,control,True,row13
0001019056-16-001705,0000065596,0001683285,55.2,control,True,row13
0001213900-23-029516,0000065596,0001727425,54.0,control,True,row13
0001213900-23-044009,0000065596,0001971612,19.9,stake,True,row13
0001213900-23-052558,0000065596,0001727711,42.0,stake,True,row13
0001213900-25-046826,0000065596,0001692471,24.0,stake,True,prose
0000893750-09-000410,0000065770,0001467031,12.9,stake,True,row13
0000930661-97-001495,0000066418,0000949117,11.95,stake,True,prose
0000930661-97-001496,0000066418,0001040469,66.7,control,True,prose
0001012709-02-001581,0000066418,0000066418,50.52,control,True,row13
0001012709-02-001603,0000066418,0001207520,5.8,stake,True,row13
0001012709-02-001658,0000066418,0001207536,5.9,stake,True,row13
0001088883-99-000003,0000066418,0001088883,16.63,stake,True,row13
0000921895-06-001374,0000066496,0001365213,8.9,stake,True,row13
0000807249-20-000193,0000067347,0000807249,,unknown,False,rejected_below_13d_threshold
0001011438-22-000245,0000067716,0001535472,,unknown,False,rejected_below_13d_threshold
0001664930-18-000004,0000067887,0001664930,18.89,stake,True,row13
0001751828-18-000002,0000067887,0001751828,19.98,stake,True,row13
0000069422-95-000003,0000069422,0000069422,5.4,stake,True,row13
0000921895-11-001518,0000069422,0001488207,5.3,stake,True,row13
